"Label" "CalYrBP" "LonDD" "LatDD" "Abies" "Abies_perc"
"KOURN" 500 24.2761 35.32778 0 0
"KOURN" 1500 24.2761 35.32778 0 0
"KOURN" 2000 24.2761 35.32778 0 0
"KOURN" 2500 24.2761 35.32778 0 0
"KOURN" 3000 24.2761 35.32778 0 0
"KOURN" 3500 24.2761 35.32778 0 0
"KOURN" 4000 24.2761 35.32778 0 0
"DELFI" 4000 24.29278 35.35083 0 0
"DELFI" 4500 24.29278 35.35083 0 0
"DELFI" 5000 24.29278 35.35083 0 0
"DELFI" 5500 24.29278 35.35083 0 0
"DELFI" 6000 24.29278 35.35083 0 0
"DELFI" 6500 24.29278 35.35083 0 0
"DELFI" 7000 24.29278 35.35083 0 0
"DELFI" 7500 24.29278 35.35083 0 0
"DELFI" 8000 24.29278 35.35083 0 0
"DELFI" 8500 24.29278 35.35083 0 0
"DELFI" 9000 24.29278 35.35083 0 0
"DELFI" 9500 24.29278 35.35083 0 0
"SRAFA" 500 -2.601389 36.773611 0 0
"SRAFA" 1000 -2.601389 36.773611 0 0
"SRAFA" 1500 -2.601389 36.773611 0 0
"SRAFA" 2000 -2.601389 36.773611 0 0
"SRAFA" 2500 -2.601389 36.773611 0 0
"SRAFA" 3000 -2.601389 36.773611 0 0
"SRAFA" 3500 -2.601389 36.773611 0 0
"SRAFA" 4000 -2.601389 36.773611 0 0
"SRAFA" 4500 -2.601389 36.773611 0 0
"SRAFA" 5000 -2.601389 36.773611 0 0
"SRAFA" 5500 -2.601389 36.773611 0 0
"SRAFA" 6000 -2.601389 36.773611 0 0
"SRAFA" 6500 -2.601389 36.773611 0 0
"SRAFA" 7000 -2.601389 36.773611 0 0
"SRAFA" 7500 -2.601389 36.773611 0 0
"SRAFA" 8000 -2.601389 36.773611 0 0
"SRAFA" 8500 -2.601389 36.773611 0 0
"SRAFA" 9000 -2.601389 36.773611 0 0
"SRAFA" 9500 -2.601389 36.773611 0 0
"SRAFA" 10000 -2.601389 36.773611 0 0
"SRAFA" 10500 -2.601389 36.773611 0 0
"SRAFA" 11000 -2.601389 36.773611 0 0
"SRAFA" 11500 -2.601389 36.773611 0 0
"SRAFA" 12500 -2.601389 36.773611 0 0
"SRAFA" 13000 -2.601389 36.773611 0 0
"SRAFA" 13500 -2.601389 36.773611 0 0
"SRAFA" 14000 -2.601389 36.773611 0 0
"SRAFA" 14500 -2.601389 36.773611 0 0
"SRAFA" 15000 -2.601389 36.773611 0 0
"SRAFA" 15500 -2.601389 36.773611 0 0
"SRAFA" 17000 -2.601389 36.773611 0 0
"SRAFA" 18000 -2.601389 36.773611 0 0
"SRAFA" 19000 -2.601389 36.773611 0 0
"PADUL3" 5000 -3.06666 37 0 0
"PADUL3" 5500 -3.06666 37 0 0
"PADUL3" 6000 -3.06666 37 0 0
"PADUL3" 6500 -3.06666 37 0 0
"PADUL3" 7000 -3.06666 37 0 0
"PADUL3" 7500 -3.06666 37 0 0
"PADUL3" 8000 -3.06666 37 0 0
"PADUL3" 8500 -3.06666 37 0 0
"PADUL3" 9000 -3.06666 37 0 0
"PADUL3" 9500 -3.06666 37 0 0
"PADUL3" 10000 -3.06666 37 0 0
"PADUL3" 10500 -3.06666 37 0 0
"PADUL3" 11000 -3.06666 37 0 0
"PADUL3" 11500 -3.06666 37 0 0
"PADUL3" 12000 -3.06666 37 0 0
"PADUL3" 12500 -3.06666 37 0 0
"PADUL3" 13000 -3.06666 37 0 0
"PADUL3" 13500 -3.06666 37 0 0
"PADUL3" 14000 -3.06666 37 0 0
"PADUL3" 14500 -3.06666 37 0 0
"PADUL3" 15000 -3.06666 37 0 0
"PADUL3" 15500 -3.06666 37 0 0
"PADUL3" 16000 -3.06666 37 0 0
"PADUL3" 16500 -3.06666 37 0 0
"PADUL3" 17000 -3.06666 37 0 0
"PADUL3" 18000 -3.06666 37 0 0
"PADUL3" 18500 -3.06666 37 0 0
"PADUL3" 19000 -3.06666 37 0 0
"PADUL3" 20000 -3.06666 37 0 0
"BIVIE" 500 14.33333333 37.01666667 0 0
"BIVIE" 1000 14.33333333 37.01666667 0 0
"BIVIE" 1500 14.33333333 37.01666667 0 0
"BIVIE" 2000 14.33333333 37.01666667 0 0
"BIVIE" 2500 14.33333333 37.01666667 0 0
"BIVIE" 3000 14.33333333 37.01666667 0 0
"BIVIE" 3500 14.33333333 37.01666667 0 0
"BIVIE" 4000 14.33333333 37.01666667 0 0
"BIVIE" 4500 14.33333333 37.01666667 0 0
"BIVIE" 5000 14.33333333 37.01666667 0 0
"BIVIE" 5500 14.33333333 37.01666667 0 0
"BIVIE" 6000 14.33333333 37.01666667 0 0
"BIVIE" 6500 14.33333333 37.01666667 0 0
"BIVIE" 7000 14.33333333 37.01666667 0 0
"BIVIE" 7500 14.33333333 37.01666667 0 0
"GUADI" 2000 -7.162 37.096 0 0
"GUADI" 2500 -7.162 37.096 0 0
"GUADI" 3000 -7.162 37.096 0 0
"GUADI" 3500 -7.162 37.096 0 0
"GUADI" 4000 -7.162 37.096 0 0
"GUADI" 4500 -7.162 37.096 0 0
"GUADI" 5000 -7.162 37.096 0 0
"GUADI" 5500 -7.162 37.096 0 0
"GUADI" 6000 -7.162 37.096 0 0
"GUADI" 7000 -7.162 37.096 0 0
"GUADI" 7500 -7.162 37.096 0 0
"GUADI" 8000 -7.162 37.096 0 0
"GUADI" 8500 -7.162 37.096 0 0
"GUADI" 9000 -7.162 37.096 0 0
"GUADI" 9500 -7.162 37.096 0 0
"GUADI" 10000 -7.162 37.096 0 0
"GUADI" 10500 -7.162 37.096 0 0
"GUADI" 11000 -7.162 37.096 0 0
"ANTAS" 1000 -1.823611 37.208333 0 0
"ANTAS" 1500 -1.823611 37.208333 0 0
"ANTAS" 2000 -1.823611 37.208333 0 0
"ANTAS" 2500 -1.823611 37.208333 0 0
"ANTAS" 3000 -1.823611 37.208333 0 0
"ANTAS" 3500 -1.823611 37.208333 0 0
"ANTAS" 4000 -1.823611 37.208333 0 0
"ANTAS" 4500 -1.823611 37.208333 0 0
"ANTAS" 5500 -1.823611 37.208333 0 0
"ANTAS" 6000 -1.823611 37.208333 0 0
"ANTAS" 6500 -1.823611 37.208333 0 0
"ANTAS" 7000 -1.823611 37.208333 0 0
"ANTAS" 7500 -1.823611 37.208333 0 0
"ANTAS" 8000 -1.823611 37.208333 0 0
"ANTAS" 8500 -1.823611 37.208333 0 0
"ANTAS" 9000 -1.823611 37.208333 0 0
"ANTAS" 9500 -1.823611 37.208333 0 0
"ANTAS" 10000 -1.823611 37.208333 0 0
"SIERRA" 500 -2.7 37.233333 0 0
"SIERRA" 1000 -2.7 37.233333 0 0
"SIERRA" 1500 -2.7 37.233333 0 0
"SIERRA" 2000 -2.7 37.233333 0 0
"SIERRA" 2500 -2.7 37.233333 0 0
"SIERRA" 3000 -2.7 37.233333 0 0
