Depth;Sample;Calendar years BP;Pollen sum;Abies;Acer;Achillea/Anthemis-type;Agrostemma githago;Allium-type;Alnus;Amaranthaceae;Anagallis arvensis;Anagallis tenella;Anemone nemorosa-type;Angiospermae undiff. (herbs);Apiaceae undiff.;Armeria;Artemisia;Asphodelus-type;Asteraceae undiff.;Betula;Bistorta officinalis-type;Boraginaceae undiff.;Brassicaceae;Bryophyta undiff.;Bupleurum-type;Buxus;Calligonum-type;Campanulaceae;Carpinus betulus;Caryophyllaceae undiff.;Castanea;Cedrus;Celtis;Centaurea cf. C. cyanus/montana-type;Centaurea scabiosa;Centaurea solstitialis-type;Cichorioideae;Cirsium;Clusiaceae/Hypericaceae cf. Hypericum;Consolida ambigua-type;Cornaceae;Corylus;Cupressaceae-type;Cyperaceae undiff.;Digitalis-type;Dipsacoideae;Echium-type;Ephedra distachya;Ephedra fragilis-type;Epilobium;Ericaceae;Euonymus europaeus;Fabaceae undiff.;Fagus;Filipendula;Fraxinus excelsior-type;Fraxinus ornus;Fraxinus undiff.;Fritillaria-type;Fumana;Galium-type;Geranium;Hedera;Helianthemum;Helleborus foetidus;Helleborus viridis;Hippophaë;Humulus/Cannabis;Ilex;Indeterminable (broken);Indeterminable (concealed);Indeterminable (crumpled);Indeterminable (degraded);Juglans;Larix;Liliaceae;Linum;Lithospermum;Lonicera;Lotus;Malvaceae undiff.;Marrubium-type;Mentha-type;Menyanthes;Olea;Ononis;Ostrya;Oxyria-type;Papaveraceae;Pedicularis;Persicaria amphibia;Persicaria maculosa-type;Persicaria undiff.;Phillyrea;Picea;Pinus subg. Strobus;Pinus undiff.;Pistacia;Plantago;Poaceae (Cerealia-type);Poaceae undiff.;Populus;Potentilla-type;Poterium sanguisorba;Primulaceae undiff.;Prunus spinosa;Pterocarya;Quercus ilex;Quercus undiff.;Ranunculus;Resedaceae;Rhamnaceae;Rosaceae cf. Geum;Rosaceae undiff.;Rumex;Salix;Sambucus;Sanguisorba officinalis;Saxifragaceae;Scilla-type;Scrophulariaceae;Scutellaria-type;Serratula-type;Solidago-type;Sorbus;Spermatophyta undiff. (trees/shrubs);Tamarix;Taxus;Thalictrum;Thymelaeaceae cf. Daphne;Tilia;Trifolium-type;Ulmus;Urtica-type;Valeriana;Veronica-type;Viburnum;Vicia;Viscum;Vitis;cf. Alchemilla;cf. Androsace;cf. Centaurium;cf. Chrysosplenium;cf. Circaea;cf. Daphne;cf. Epilobium;cf. Euphorbia;cf. Frangula/Bruckenthalia;cf. Helianthemum;cf. Larix;cf. Mentha;cf. Mercurialis;cf. Myrica;cf. Onobrychis-type;cf. Platanus;cf. Rutaceae;cf. Sambucus;cf. Sedum
0.5;434198;59;373;3;3;;;;54;3;;;;;3;;10;;;4;;;1;;;;;;4;1;11;;;;;;1;;;;;9;3;12;;;;;;;;;;17;;3;2;;;;2;;;;;;;;;2;;1;;3;;;;;;;;;;;5;;23;;;;;;;4;;;4;;10;;56;;;;;;;;105;;;1;;;4;3;;;;;;;;1;;;;;;;;;3;;;;;;;1;;;;;;;;1;;;;;;;;;;;
2;434199;63;395;1;;;;;55;;;;;;2;;6;;;6;;;;;;;;;9;;8;1;;;;;;;;;;15;4;6;1;;;;;;2;;;29;;1;;;;;;;2;;;;;8;;2;;6;;1;;;;;;;;;;;5;;12;;;;;;;5;;;4;;5;3;48;;1;;;;;;130;;;;;1;4;8;;;;;;;;1;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
4;434200;67;349;1;;1;;;85;2;;;;;4;;2;2;;3;;;2;;;;;;11;;5;;;;;;1;;;;;10;;6;1;;;;;;1;;2;16;;;;;;;;;1;;;;;5;;;;2;;3;;;;;;;;;;;3;;15;;;;;;;3;;;5;;7;1;55;;1;;;;;;79;1;;;;;1;5;;;;1;;;;;;;;;;;1;;1;;;;;;;3;;;;;;;;1;;;;;;;;;;;
5;434201;87;380;;2;;;;74;2;;;;;;;1;;;;;;;;;;;;12;;;;;;;1;;;;;;12;;2;;;;;;;2;;;19;;;3;;;;;;2;;;;;;;;;;;3;;;;;;;;;;;1;;20;;;;;;;;;;3;2;6;2;38;;2;;;;;5;148;;;;;1;2;5;;;;;;;;2;;;;;;;;;5;2;;;;;;1;;;;;;;;;;;;;;;;;;;
25;434202;403;321;;;;;;70;1;;;;;3;;2;;;;;;;;;;;;13;1;3;;;;;;;1;;;;6;;1;;;;;;;1;;;30;;;3;;;;;;4;;;;;3;;;;3;;5;;;;;;;;;;;3;;21;;;;;;;2;;;;2;4;2;57;;;1;;;;3;67;;;;;2;;4;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;
45;434203;735;360;;;3;;;96;3;;;;;2;;4;;;1;;;1;;;;;;13;1;4;;;;;;2;1;;;;6;;4;;;;;;;;;2;24;;1;2;;;;;;1;;;;;5;;;;1;;1;;;;;;;;;;;2;;29;;;;;;;;;;;;1;10;54;;;1;;;;1;77;;;;;1;;5;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
46.5;434204;753;408;12;;;;;36;2;;;;2;;;2;;;;;;;;;;;;13;;1;;;;;;;;;;;18;2;3;;;;;;;;;;24;;3;3;;;;;;2;;;;;76;;;;;;2;;;;;;;;;;;4;;26;;;;;;;1;;;1;;3;3;29;;;;;;;11;117;;;;;;;3;;;;;;;;;;3;;;;;1;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
52.9;434205;829;469;1;2;;;;39;2;;;;6;;;3;;1;;;;;;;;;;50;;;;;;;;;;;;;14;1;5;;;;;;;;;;24;;;1;;;;;;1;;;;;15;;;;;;3;;;;;;;;;;;3;;27;;;;;;;;;;2;3;3;5;49;1;;;;;;21;180;;;;;;1;3;;;;;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;
57.7;434206;887;495;;;;;;105;;;;;6;;;3;;3;;;;;;;;;;34;;1;;;;;;;;;;;2;2;1;;;;;;;;;;32;;;2;;;;;;2;;;;;;;;;;;6;;;;;;;;;;;5;;27;;;;;;;;;;1;7;11;4;42;;;;;;;4;181;;;;;;1;7;;;;;;;;;;1;;;;;;;3;;;;;;;2;;;;;;;;;;;;;;;;;;;
59.9;434207;913;409;1;2;;;;82;2;;;;3;;;3;;2;;;;;;;;;;24;;;;;;;;;;;;;10;;3;;;;;;;;;;37;;;4;;;;;;3;;;;;;;;;;;;;;;;;;;;;;5;;9;;;;;;;;;;2;1;2;3;35;;;;;;;4;154;;;;;;1;7;;;;;;;;;;3;;;;;3;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
60;434208;914;371;2;;1;;;94;2;;;;;4;;4;;;2;;;1;;;;;;15;;7;;;;;;1;1;;;;5;1;6;4;;;;1;;2;;;34;;;;;;;1;;1;;;;;5;;;;1;;1;;;;;;;;;;1;1;;17;;;;;;;1;;;1;;3;3;48;;;1;;;;;81;;;;;1;2;5;;;1;;;;;1;;;;;;;;;2;2;;;;;;3;;;;;;;;1;;;;;;;;;;;
64.4;434209;938;506;1;;;;;78;;;;;6;;;4;;5;;;;;;;;;;25;;1;;;;;;;;;;;24;1;;;;;;;;;;;24;;;4;;;;;;1;;;;;2;;;;;;3;;;;;;;;;;;4;;35;;;;;;;;;;1;2;7;4;50;;;;;;;20;195;;;;;;1;4;;;;;;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
65;434210;941;447;1;;;;;87;2;;;;;;;1;;;1;;;;;;;;;33;;;;;;;;;;;;;4;1;1;;;;;;;2;;2;47;;2;2;;;;;;1;;;;;4;;;;1;;1;;;;;;;;;;;3;;54;;;;;;;4;;;;;3;;9;1;1;;;;;3;165;;;;;1;;4;;;;;;;;;;;;;;;1;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;
67.5;434211;969;448;1;1;;;;98;;;;;7;;;1;;2;;;;;;;;;;29;;1;;;;;;;;;;;16;;1;;;;;;;;;;29;;;1;;;;;;1;;;;;1;;;;;;5;;;;;;;;;;;1;;19;;;;;;;1;;;4;;7;2;42;;;;;;;14;145;;;;;;1;6;;;;;;;;;;4;;;;;2;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
73.2;434212;1034;483;;;;;;80;2;;;;7;;;5;;1;;;;;;;;;;17;;2;;;;;;;;;;;15;1;2;;;;;;;;;;29;;;1;;;;;;;;;;;;;;;;;3;;;;;;;;;;;8;;32;;;;;;;;;;3;1;11;1;55;;;;;;;14;175;;;;;;1;8;;;;;;;;;;3;;1;;;1;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
80;434213;1110;391;1;;;;;43;4;;;;6;;;4;;5;;;;;;;;;;15;;3;;;;;;;;;;;11;;6;;;;;;;2;;;27;;3;2;;;;;;;;;;;4;;;;;;4;;;;;;;;;;;6;;32;;;;;;;2;;;2;3;5;5;87;;;;;;;14;85;;;;;;2;1;;;;;;;;;;1;;1;;;;;4;;;;;;;1;;;;;;;;;;;;;;;;;;;
86.2;434214;1179;354;;1;;;;56;4;;;;6;;;5;;8;;;;;;;;;;18;;1;;;;;;;;;;;8;;8;;;;;;;;;;20;;2;1;;;;;;2;;;;;6;;;;;;3;;;;;;;;;;;4;;38;;;;;;;;;;3;1;12;5;57;;;;;;;15;64;;;;;;;1;;;;;;;;;;1;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
88.6;434215;1207;374;1;1;;;;65;3;;;;8;;;5;;5;;;;;;;;;;27;;4;;;;;;;;;;;10;1;6;;;;;;;1;;;29;;1;4;;;;;;4;;;;;;;;;;;2;;;;;;;;;;;4;;16;;;;;;;1;;;1;2;7;2;60;;;;;;;13;78;;;;;;1;8;;;;;;;;;;1;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
90;434216;1222;376;;;;;;69;1;;;;;;;1;;;4;;;3;;;3;;;14;2;8;;;;;;1;;;;;4;;2;;;;;;;1;;;27;;4;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;31;;;;;;;2;;;;;5;;13;;;;;;;;163;;;;;1;1;5;2;;1;;;;;;;;;;1;;;;2;;;;;;;1;;;;;;;;1;;;;;;;;;;;
91.6;434217;1233;356;1;;;;;67;;;;;8;;;2;;4;;;;;;;;;;17;;1;;;;;;;;;;;7;1;1;;;;;;;2;;;36;;;3;;;;;;;;;;;;;;;;;3;;;;;;;;;;;3;;27;;;;;;;;;;;5;6;4;54;1;;;;;;11;81;;;;;;1;2;;;;;;;;;;1;;;;;;;6;;;;;;;1;;;;;;;;;;;;;;;;;;;
102.1;434218;1301;428;1;;;;;71;2;;;;2;;;3;;3;;;;;;;;;;26;;;;;;;;;;;;;5;;1;;;;;;;1;;;71;;3;;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;2;;35;;;;;;;;;;;2;1;3;32;2;;;;;;19;126;;;;;;1;5;;;;;;;;;;2;;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
104;434219;1313;420;;1;;;;56;2;;;;;;;;;;2;;;;;;;;;16;;3;;;;;1;;;;;;11;1;;;;;;1;;4;;;77;1;;2;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;1;;46;;;;;;;1;;;2;4;4;4;34;;;;;;;5;130;1;;;;;2;2;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
108.7;434220;1378;344;2;1;;;;64;4;;;;7;;;1;;4;;;;;;;;;;25;;;;;;;;;;;;;3;;2;;;;;;;1;;;53;;;2;;;;;;1;;;;;1;;;;;;2;;;;;;;;;;;1;;17;;;;;;;2;;;1;3;9;2;29;;;;;;;8;92;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;
113.3;434221;1440;349;1;1;;;;62;2;;;;7;;;4;;2;;;;;;;;;;16;;1;;;;;;;;;;;;;1;;;;;;;1;;;48;;2;5;;;;;;5;;;;;;;;;;;1;;;;;;;;;;;3;;25;;;;;;;;;;4;;2;7;26;;;;;;;12;101;;;;;;;2;;;;;;;;;;3;;;;;;;3;;;;;;;2;;;;;;;;;;;;;;;;;;;
113.4;434222;1441;396;1;2;;;;36;;;;;6;;;2;;5;;;;;;;;;;29;;3;;;;;;;;;;;5;;2;;;;;;;;;;70;;1;3;;;;;;;;;;;;;;;;;7;;;;;;;;;;;3;;22;;;;;;;;;;3;2;3;5;45;1;;;;;;9;120;;;;;;;2;;;;;;;;;;2;;1;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;;;;
124;434223;1586;365;1;1;;;;45;1;;;;;2;;;;;1;;;;;;;;;32;;;;;;;;;;;;;8;;;;;;;;;;;;69;;;3;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;10;;47;;;;;;;3;;;;4;3;3;23;;;;;;;15;85;;;;;3;1;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
134;434224;1752;350;;2;1;;;33;2;;;;;;;;;;3;;;;;;;;;15;1;3;;;;;1;;;;;;5;1;2;;;;;;;;;1;87;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;29;;;;;;;;;;;;2;1;22;;;;;;;;124;;;;;;2;;;;;;;;;1;;;;;;;;;3;1;;;;;1;;;;;;;;;;;;;;;;;;;;
144.8;434225;1836;607;;1;;;;76;;;;;2;;;1;;2;;;;;;;;;;73;;1;;;;;;;;;;;13;1;;;;;;;;;;;108;;2;5;;;;;;;;;;;1;;;;;;3;;;;;;;;;;;20;;45;;;;;;;;;;3;6;7;5;16;;;;;;;28;182;;;;;;;;;;;;;;;;;1;;1;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
154;434226;1909;404;;2;;;;47;;;;;;2;;1;;;1;;;;;;;;;67;;1;;;;;;;;;;;12;3;;;;;;;;1;;;48;;;4;;;;;;;;;;;;;;;2;;;;;;;;;;;;;4;;68;;;;;;;8;;;;8;4;1;7;1;;;;;;13;95;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
159;434227;1946;523;1;1;;;;100;;;;;3;;;3;;1;;;;;;;;;;68;;;;;;;;;;;;;14;2;;;;;;;;;;;33;;;8;;;;;;1;;;;;;;;;;;;;;;;;;;;;;11;;49;;;;;;;3;;;1;6;4;1;26;1;;;;;;14;164;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;1;;;;;;;;;;;;;;;;;;;
180.4;434228;2104;648;1;2;;;;119;3;;;;6;;;;;2;;;;;;;;;;53;;;;;;;;;;;;;11;;1;;;;;;;1;;;45;;1;3;;;;;;;;;;;;;;;;;1;;;;;;;;;;;34;;52;;;;;;;;;;3;4;8;1;28;;;;;;;15;239;;;;;;5;1;;;;;;;;;;;;1;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
180.5;434229;2106;428;;;;;;60;;;;;;;;2;;;3;;;;;;;;;21;;;;;;;;;;;;;10;9;6;;;;;;;1;;;21;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;30;;;;;;;8;;;1;;2;;31;;1;;;;;;204;;;;;;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;2;;;;;;;;;;;
184;434230;2186;444;;1;;;;54;1;;;;;1;;2;;;2;;;1;;;;;;39;;;;;;;1;;;;;;16;1;4;1;;;;;;2;;;37;;1;3;;;;;;;;;;;1;;;;5;;2;;;;;;;;;;;1;;52;;;;;;;3;;;;1;6;;17;1;;1;;;;9;172;1;;;;1;;;;;;;;;;;;;;1;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
194;434231;2352;402;;2;;;;100;2;;;;;1;;;;;2;;;;;;;;;41;;;;;;;1;;;;;;9;1;4;;;;;;;1;;;15;1;1;1;;;;;;;;;;;;;;;3;;3;;;;;1;;;;;;;;37;;;;;;;2;;;1;;2;1;19;;;;;;;20;124;;;;;3;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
199.1;434232;2394;443;1;;;;;83;2;;;;3;;;;;1;;;;;;;;;;41;;;;;;;;;;;;;9;2;;;;;;;;1;;;16;;2;3;;;;;;1;;;;;;;;;;;3;;;;;;;;;;;17;;28;;;;;;;;;;2;3;5;3;37;;;;;;;27;146;;;;;;2;;;;;;;;;;;2;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;
214.9;434233;2520;611;12;;;;;125;1;;;;10;;;4;;2;;;;;;;;;;88;;;;;;;;;;;;;66;;1;;;;;;;1;;;51;;1;4;;;;;;2;;;;;;;;;;;;;;;;;;;;;;6;;57;;;;;;;;;;1;3;2;8;35;;;;;;;13;106;;;;;;2;;;;;;;;;;;1;;;;;1;;5;;;;;;;3;;;;;;;;;;;;;;;;;;;
220.5;434234;2565;378;;;1;;;69;;;;;;;;2;;;4;;;2;;;;;;38;;3;;;;;;1;;;;2;20;;1;;;;;;;2;;;27;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;6;;17;3;;;;;;;;;;;4;;33;;;;;;;6;117;1;;;;;8;3;;;;;;;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
225.5;434235;2648;388;4;1;;;;69;;;;;;;;1;;;;;;;;;1;;;28;;;;;;;2;;;;;;23;2;3;;;;;;;2;;;33;;;2;;;;;;1;;;;;;1;;;3;;;;;;;;;;;;;3;;41;;;;;;;;;;3;1;3;4;28;;;;;;;13;105;;;;;;2;1;;;;;;;;;;;;4;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;
236;434236;2823;331;11;1;;;;23;1;;;;3;;;2;;;;;;;;;;;;46;;;;;;;;;;;;;82;;1;;;;;;;1;;;19;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;28;;;;;;;;;;;;3;;34;;;;;;;23;32;;;;;;1;1;;;;;;;;;;3;;2;;;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
245.5;434237;2981;393;6;;;;;72;;;;;;;;1;;;1;;;;;;;;;68;;;;;;;;1;;;;;61;1;;1;;;;;;2;;1;24;;1;;;;;;;2;;;;;1;2;;;1;;;;;;;;;;;;;1;;48;;;;;;;;;;1;2;3;1;10;;;;;;;11;58;;;;;1;2;2;;;;;;;;;;;;2;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;2;;;
254.6;434238;3132;428;18;;;;;127;;;;;5;;;1;;2;;;;;;;;;;24;;1;;;;;;;;;;;31;;;;;;;;;;;;8;;3;4;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;8;;;1;;1;1;12;;;;;;;8;132;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;
265.5;434239;3314;425;36;1;;;;52;;;;;;;;1;;;;;;;;;;;;58;3;;;;;;1;;;;;;27;1;;;;;;;;1;;1;29;;3;4;;;;2;;4;;;;;1;1;;;;;;;;;;;;;;1;;1;;66;;;;;;;10;;;1;1;4;2;25;;;;;;;30;26;;;;;1;;;;;;;;;;1;;;;19;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;
273.3;434240;3425;494;33;2;;;;126;2;;;;11;;;1;;;;;;;;;;;;19;;;;;;;;;;;;;16;;2;;;;;;;;;;18;;9;7;;;;;;8;;;;;;;;;;;;;;;;;;;;;;1;;44;;;;;;;;;;1;;1;1;19;1;;;;;;24;104;;;;;;1;;;;;;;;;;;;;21;;;1;;19;;;;;;;2;;;;;;;;;;;;;;;;;;;
275.5;434241;3456;386;25;;;;;86;2;;;;;;;1;;;1;;;;;;;;;27;;;;;;;;;;;;;11;;1;;;;;;;1;;2;20;;2;5;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;5;;;1;1;2;;13;;;;;;;10;65;;;;;1;;;;;;1;;;;;;;;24;;;;;27;;;;;;;1;;;;;;;;;;;;;;;;;;;
315.5;434242;4018;396;24;;;;;47;3;;;;;2;;;;;;;;;;;;;;29;1;1;;;;;;;;;;;10;1;;;;;;;;1;;;10;1;1;;;;;1;;4;;;;;;;;;2;;;;;;;;;;;;;1;;67;;;;;;;16;;;1;1;4;;16;;;;;;;14;106;1;;;;3;;;;;;;;;;;;;;13;;;1;;13;;;;;;;1;;;;;;;;;;;;;;;;;;;
319.3;434243;4043;441;32;2;;;;53;;;;;2;;;;;2;;;;;;;;;;25;;;;;;;;;;;;;19;;3;;;;;;;;;;9;;4;4;;;;;;5;;;;;;;;;;;;;;;;;;;;;;1;;47;;;;;;;1;;;4;2;2;1;19;;;;;;;30;124;;;;;;1;;;;;;;;;;;6;;12;;;2;;27;;;;;;;2;;;;;;;;;;;;;;;;;;;
320.5;434244;4050;350;9;2;;;;25;2;;;;;4;;1;;;2;;;;;;;;;21;;1;;;;;1;1;;;;;27;4;1;;;;;;;1;;1;6;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;36;;;;;;;;;;3;1;5;;9;;;;;;;27;125;;;;;;;;;;;1;;;;1;;;;7;1;;;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;
330.7;434245;4175;430;26;3;;;;127;;;;;1;;;2;;5;;;;;;;;;;21;;;;;;;;;;;;;29;;;;;;;;;;;;9;;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;1;;;5;;5;1;24;2;;;;;;5;110;;;;;;1;;;;;;;;;;;1;;;;;;;4;;;;;;;2;;;;;;;;;;;;;;;;;;;
337.4;434246;4257;534;37;3;;;;67;2;;;;8;;;2;;2;;;;;;;;;;40;;;;;;;;;;;;;30;;1;;;;;;;;;;22;;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;79;;;;;;;1;;;1;;9;;15;;;;;;;44;145;;;;;;1;1;;;;;;;;;;;;3;;;;;8;;;;;;;2;;;;;;;;;;;;;;;;;;;
343.4;434247;4331;646;51;8;;;;149;;;;;11;;;1;;1;;;;;;;;;;39;;2;;;;;;;;;;;12;;1;;;;;;;;;;11;;26;12;;;;;;5;;;;;;;;;;;;;;;;;;;;;;1;;60;;;;;;;;;;4;;6;2;23;;;;;;;44;131;;;;;;1;;;;;;;;;;;3;;17;;;;;24;;;;;;;1;;;;;;;;;;;;;;;;;;;
344.2;434248;4342;373;43;2;;;;63;2;;;;4;;;1;;;;;;;;;;;;15;;;;;;;;;;;;;9;;1;;;;;;;;;;6;;5;1;;;;;;6;;;;;;;;;;;;;;;;;;;;;;1;;33;;;;;;;1;;;1;;2;;14;;;;;;;6;134;;;;;;;;;;;;;;;;;3;;7;;;2;;7;;;;;;;4;;;;;;;;;;;;;;;;;;;
352.7;434249;4446;530;30;;;;;98;3;;;;3;;;;;;;;;;;;;;;34;;;;;;;;;;;;;26;;1;;;;;;;4;;;15;;10;4;;;;;;4;;;;;;;;;;;;;;;;;;;;;;1;;71;;;;;;;4;;;5;1;3;;9;;;;;;;37;120;;;;;;;;;;;;;;;;;2;;22;;;;;17;;;;;;;6;;;;;;;;;;;;;;;;;;;
363.7;434250;4581;496;42;4;;;;101;3;;;;2;;;2;;1;;;;;;;;;;23;;;;;;;;;;;;;16;2;1;;;;;;;1;;;15;;5;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;4;;44;;;;;;;3;;;3;2;6;3;10;;;;;;;38;138;;;;;;1;;;;;;;;;;;2;;12;;;;;5;;;;;;;3;;;;;;;;;;;;;;;;;;;
370.3;434251;4662;408;38;1;;;;81;2;;;;4;;;;;;;;;;;;;;;21;;;;;;;;;;;;;16;;1;;;;;;;;;;18;;13;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;1;;30;;;;;;;4;;;2;1;2;1;8;;;;;;;30;110;;;;;;;1;;;;;;;;;;;;11;;;1;;5;;;;;;;1;;;;;;;;;;;;;;;;;;;
382.3;434252;4810;423;30;2;;;;116;1;;;;4;;;;;2;;;;;;;;;;20;;;;;;;;;;;;;10;;;;;;;;;1;;;6;;3;4;;;;;;4;;;;;;;;;;;;;;;;;;;;;;3;;40;;;;;;;;;;;;2;;6;;;;;;;37;114;;;;;;;;;;;;;;;;;2;;10;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
391;434253;4916;530;39;1;;;;112;;;;;8;;;;;;;;;;;;;;;18;;;;;;;;;;;;;9;;;;;;;;;;;;19;;8;6;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;2;;;3;;4;3;15;;;;;;;19;199;;;;;;;;;;;;;;;;;1;;10;;;1;;10;;;;;;;4;;;;;;;;;;;;;;;;;;;
393.2;434254;4943;380;34;2;;;;105;;;;;1;;;;;;;;;;;;;;;11;;;;;;;;;;;;;16;;;;;;;;;;;;13;;9;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;24;;;;;;;;;;2;;3;;12;;;;;;;3;107;;;;;;2;1;;;;;;;;;;1;;11;;;;;10;;;;;;;7;;;;;;;;;;;;;;;;;;;
398.9;434255;5013;426;24;;;;;117;;;;;2;;;;;1;;;;;;;;;;27;;;;;;;;;;;;;15;;1;;;;;;;1;;;8;;6;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;7;;;2;;2;;11;;;;;;;22;136;;;;;;;1;;;;;;;;;;1;;;;;;;9;;;;;;;2;;;;;;;;;;;;;;;;;;;
409.5;434256;5144;588;23;3;;;;185;;;;;2;;;1;;1;;;;;;;;;;26;;;;;;;;;;;;;75;;;;;;;;;1;;;13;;7;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;;1;;2;2;22;;;;;;;9;145;;;;;;;1;;;;;;;;;;;;1;;;1;;8;;;;;;;;;;;;;;;;;;;;;;;;;;
425;434257;5334;345;6;2;;;;82;1;;;;;1;;;;;6;;;;;;;;;15;;;;;;;;;;;;6;39;;1;;;;;;;;;1;5;;3;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;6;;37;2;;;;;;;;;6;;5;;15;;;;;;;;94;1;;;;;;1;;;;;;;;;;;;;;;;;4;;;;;;;4;;;;;;;;;;;;;;;;;;;
425.7;434258;5345;421;20;;;;;120;;;;;5;;;;;2;;;;;;;;;;14;;;;;;;;;;;;;8;;;;;;;;;;;;7;;6;4;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;;;1;1;6;3;15;;;;;;;15;135;;;;;;2;;;;;;;;;;;1;;2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
435.8;434259;5500;438;23;1;;;;99;1;;;;4;;;;;1;;;;;;;;;;13;;;;;;;;;;;;;34;;1;;;;;;;1;;;14;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;55;;;;;;;6;;;1;;3;;8;;;;;;;25;129;;;;;;3;;;;;;;;;;;;;7;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
442.3;434260;5601;437;25;;;;;122;;;;;5;;;1;;;;;;;;;;;;9;;;;;;;;;;;;;14;;4;;;;;;;;;;8;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;1;;;;;2;1;20;;;;;;;18;161;;;;;;;;;;;;;;;;;1;;;;;;;8;;;;;;;1;;;;;;;;;;;;;;;;;;;
444.9;434261;5640;492;43;2;;;;165;2;;;;3;;;1;;;;;;;;;;;;11;;1;;;;;;;;;;;12;;;;;;;;;;;;12;;8;1;;;;;;4;;;;;;;;;;;;;;;;;;;;;;1;;44;;;;;;;2;;;1;2;5;;20;;;;;;;3;131;;;;;;;;;;;;;;;;;;;12;;;1;;2;;;;;;;3;;;;;;;;;;;;;;;;;;;
