SiteN	Metadata	Filename	Region	Country	SiteName	Chronology	Calibration method	londd	latdd	Lang et al. 2023 dataset	Neotoma Code	Author				
1	EXCLUDED	ALGEN	Ma	Spain	Algendar	Already present		3.958611	39.940556	TRUE						
1	EXCLUDED	BALLI	Ta	Ireland	Ballinloghig Lake	Already present		-10.308333	52.2	TRUE						
1	EXCLUDED	MAANS	Bb	Finland	Maanselansuo	Already present		25	59.433333	TRUE						
1	EXCLUDED	MAILL	Ma	Spain	El Maillo	Already present		6.20972222	40.5466667	TRUE						
1	EXCLUDED		A	Norway	Cap'pesjav'ri			25.37	71.07	FALSE						
1	EXCLUDED	HOPSE	A	Norway	Lake Hopseidet	Already present		27.72	70.83	TRUE						
1	EXCLUDED		A	Norway	Iver Kobbkrokvatnet			29.29	70.7	FALSE						
1	EXCLUDED		A	Norway	Jansvatmet			23.67	70.65	FALSE						
1	EXCLUDED	IFJOR	A	Norway	Lake Ifjord	Already present		27.63	70.43	TRUE						
1	EXCLUDED	DOMSV	A	Norway	Domsvatnet	Already present		31.03	70.32	TRUE						
1	EXCLUDED		A	Russia	Rybachiy			32.4	69.6	FALSE						
1	EXCLUDED	YARNI	A	Russia	Yarnishnoe-3	Already present		36.1	69.1	TRUE						
1	EXCLUDED	POTER	A	Russia	Poteryanny Zub	Already present		35.3	68.8	TRUE						
1	EXCLUDED	ORTIN	A	Russia	Ortino	Already present		54.1	68.1	TRUE						
1	EXCLUDED	TIMAN	A	Russia	Bolvan I	Already present		48.43	67.43	TRUE						
1	EXCLUDED	KHARI	A	Russia	Lake Kharinei	Already present		62.75	67.37	TRUE						
1	EXCLUDED	TUMBU	A	Russia	Lake Tumbulovaty	Already present		59.7	67.1	TRUE						
1	EXCLUDED		Ba	Norway	Endlevatn			16	69.2	FALSE						
1	EXCLUDED	DONCO	Ba	Norway	Donvold	Already present		13.58	68.13	TRUE						
1	EXCLUDED		Ba	Iceland	Efstadalsvatn			-21.66	65.92	FALSE						
1	EXCLUDED		Ba	Iceland	Bardalaekjartjorn			-19.87	65.42	FALSE						
1	EXCLUDED		Ba	Norway	Blavasstjonn			11.66	64.91	FALSE						
1	EXCLUDED	GRASV	Ba	Norway	Grasvatn	Already present		8.7	63.7	TRUE						
1	EXCLUDED	SAKSU	Ba	Faroe Islands	Saksunarvatn	Already present		-7.18	62.25	TRUE						
1	EXCLUDED		Ba	Norway	Krakenes			5	62.03	FALSE						
1	EXCLUDED	DALLI	Ba	United Kingdom	Dallican Water	Already present		-1.1	60.39	TRUE						
1	EXCLUDED	BRUVA	Bb	Norway	Bruvatnet	Already present		26.42	70.18	TRUE						
1	EXCLUDED	TROLL	Bb	Norway	Trollvatnet	Already present		23.47	69.88	TRUE						
1	EXCLUDED	SUOVA	Bb	Finland	Suolavampi	Already present		28.83	69.58	TRUE						
1	EXCLUDED	AKUVA	Bb	Finland	Akuvaara	Already present		27.68	69.13	TRUE						
1	EXCLUDED	MUKKA	Bb	Finland	Mukkavaara	Already present		21	68.92	TRUE						
1	EXCLUDED	TSUOL	Bb	Finland	Lake Tsuolbmajavri	Already present		22.8	68.69	TRUE						
1	EXCLUDED		Bb	Sweden	Badsjon			18.75	68.33	FALSE						
1	EXCLUDED		Bb	Russia	Chuna			32.48	67.95	FALSE						
1	EXCLUDED		Bb	Sweden	Sjuodjijaure			18.1	67.4	FALSE						
1	EXCLUDED		Bb	Russia	Krugloye			37.58	66.37	FALSE						
1	EXCLUDED	KANGE	Bb	Finland	Kagerjoki	Already present		29	66.12	TRUE						
1	EXCLUDED	SOLNE	Bb	Russia	Solnechnoe	Already present		34.33	65.83	TRUE						
1	EXCLUDED	ZAPOV	Bb	Russia	Zapovednoe	Already present		32.63	65.12	TRUE						
1	EXCLUDED	VASIK	Bb	Finland	Vasikkasuo	Already present		27.87	64.67	TRUE						
1	EXCLUDED	RUGOZ	Bb	Russia	Rugozero	Already present		32.63	64.08	TRUE						
1	EXCLUDED		BB	Sweden	Kassjon			20.02	63.92	FALSE						
1	EXCLUDED	ZARUC	Bb	Russia	Zaruckoe	Already present		36.25	63.9	TRUE						
1	EXCLUDED	ABBOR	Bb	Sweden	Abborrtjarnen	Already present		14.45	63.88	TRUE						
1	EXCLUDED	PUNOZ	Bb	Russia	Punozerka	Already present		33.58	62.82	TRUE						
1	EXCLUDED	FLAFA	Bb	Norway	Flafattjonna	Already present		10.4	62.33	TRUE						
1	EXCLUDED	STYGG	Bb	Sweden	Styggtjarnen	Already present		13.57	62.32	TRUE						
1	EXCLUDED	GOTNA	Bb	Russia	Gotnavolok	Already present		33.8	62.2	TRUE						
1	EXCLUDED	YLMY	Bb	Finland	Ylmysneva	Already present		22.87	62.13	TRUE						
1	EXCLUDED	BEZDO	Bb	Russia	Bezdonnoe	Already present		32.77	62.03	TRUE						
1	EXCLUDED	AHOLA	Bb	Finland	Aholampi	Already present		25.22	61.88	TRUE						
1	EXCLUDED	KLOTJ	Bb	Sweden	Klotjarnen	Already present		16.53	61.82	TRUE						
1	EXCLUDED	LADOG	Bb	Russia	Ladoga Lake	Already present		31.34	61.56	TRUE						
1	EXCLUDED	BRURS	Bb	Norway	Brurskardtjorni	Already present		8.67	61.42	TRUE						
