"CalYrBP" "model" "run" "Spear_cor" "MDAE" "rel_err" "mare"
"1" 500 "./RelAb_VarSel_STRK" 1 0.372503840245776 1.73786453242895 1.3076166719809 1.3076166719809
"2" 500 "./RelAb_VarSel_STRK" 2 0.159945317840055 1.70592055134539 0.67428260513972 0.850476213005317
"3" 500 "./RelAb_VarSel_STRK" 3 0.268831168831169 1.26820509872848 0.793102898632153 0.80581527003717
"4" 500 "./RelAb_VarSel_STRK" 4 0.231908625491579 1.65311804049121 0.853547608330422 0.926377053518925
"5" 500 "./RelAb_VarSel_STRK" 5 0.328389016897081 1.7417606870622 0.689222977442578 0.919414576074307
"6" 500 "./RelAb_VarSel_STRK" 6 0.303762035128734 1.73959718201286 0.368658178505539 0.835938788471083
"7" 500 "./RelAb_VarSel_STRK" 7 0.235435648916292 1.85387295597981 0.810722232179915 0.892078031557966
"8" 500 "./RelAb_VarSel_STRK" 8 0.241724140293687 1.51926084749828 0.684886894101094 0.806002489719636
"9" 500 "./RelAb_VarSel_STRK" 9 0.213123718386876 1.75837038528263 0.977529031162308 0.977529031162308
"10" 500 "./RelAb_VarSel_STRK" 10 0.274911233663217 1.41339104076973 0.526820067027342 0.829770989860477
"11" 500 "./RelAb_VarSel_STRK" 11 0.248887552210546 1.68193053734787 0.987535117051518 0.991775737263788
"12" 500 "./RelAb_VarSel_STRK" 12 0.22397965810269 1.87956899266095 0.679454080209078 0.814254969022302
"13" 500 "./RelAb_VarSel_STRK" 13 0.258673957621326 1.50274912545551 0.776759732842014 0.861583751923289
"14" 500 "./RelAb_VarSel_STRK" 14 0.215228981544771 1.48874610801003 0.647871348096593 0.873607698656388
"15" 500 "./RelAb_VarSel_STRK" 15 0.185481886534518 1.81091963382293 1.05238645282448 1.05238645282448
"16" 500 "./RelAb_VarSel_STRK" 16 0.0816631448821054 1.54562657686024 0.846551308383882 0.902207227786848
"17" 500 "./RelAb_VarSel_STRK" 17 0.200847573479152 1.49688056560803 0.743574278400678 0.925715847540394
"18" 500 "./RelAb_VarSel_STRK" 18 0.192132867132867 1.67235889760271 0.87046004794752 0.87046004794752
"19" 500 "./RelAb_VarSel_STRK" 19 0.0575256322624744 1.85082045029642 0.730992044252143 0.918281510037701
"20" 500 "./RelAb_VarSel_STRK" 20 0.0856206293706294 1.66840850527057 0.811883126671279 0.900362666842505
"21" 500 "./RelAb_VarSel_STRK" 21 0.208682732744076 1.82990797940118 0.78180385574482 0.870681706428425
"22" 500 "./RelAb_VarSel_STRK" 22 0.206122448979592 1.68032773804219 0.432729355764549 0.728178057180647
"23" 500 "./RelAb_VarSel_STRK" 23 0.243638028973764 1.50200341105205 0.76801592513553 0.874380057067521
"24" 500 "./RelAb_VarSel_STRK" 24 0.146722027972028 1.53094544646525 0.727092771264661 0.84641923940749
"25" 500 "./RelAb_VarSel_STRK" 25 0.184389503691961 1.49832793569336 0.67379736457202 0.869562832387085
"26" 500 "./RelAb_VarSel_STRK" 26 0.206605222734255 1.77399135267175 0.731528067008788 0.955328916243895
"27" 500 "./RelAb_VarSel_STRK" 27 0.238279140669549 1.62736055826508 0.890629809657819 0.943084356507166
"28" 500 "./RelAb_VarSel_STRK" 28 0.223107447168476 1.70912268723296 0.406275838585298 0.805014979107683
"29" 500 "./RelAb_VarSel_STRK" 29 0.226493506493506 1.71308829984231 0.8120710133555 0.859865494892303
"30" 500 "./RelAb_VarSel_STRK" 30 0.208995215311005 1.80469112675918 0.82833227402048 0.929100100979512
"31" 500 "./RelAb_VarSel_STRK" 31 0.0448999634892871 1.75879997951523 0.950634773151239 1.01603168024007
