"CalYrBP" "model" "MDAE" "Spear_cor" "rel_err" "mare" "rmse"
"1" 500 "./RelAb_VarSel_STRK" 0.919279443470794 0.792705350020911 0.719098090061795 0.767547936966349 3.18773345994595
"2" 1000 "./RelAb_VarSel_STRK" 1.04238964675219 0.8632615232971 0.319471124591314 0.478882088890854 4.02754946448941
"3" 1500 "./RelAb_VarSel_STRK" 1.43668733164017 0.849867067416288 0.159172207223456 0.514802038878599 6.28884651824253
"4" 2000 "./RelAb_VarSel_STRK" 2.17826097110411 0.854333393704975 0.255132324103322 0.551865362123309 6.72049053098971
"5" 2500 "./RelAb_VarSel_STRK" 2.01512914237797 0.807357619101716 0.261152941151525 0.506453643756332 7.16651854097063
"6" 3000 "./RelAb_VarSel_STRK" 2.35775140681147 0.834661354609951 0.0253186832344614 0.468103881966152 7.38964785382994
"7" 3500 "./RelAb_VarSel_STRK" 2.12068197498912 0.851675164381355 0.0263239547126893 0.524389184560857 7.35454307898633
"8" 4000 "./RelAb_VarSel_STRK" 2.30064253058607 0.865694247831509 0.146763491446913 0.529466375900492 8.32937017860204
"9" 4500 "./RelAb_VarSel_STRK" 2.88267004451876 0.771680452810181 0.0324521289710535 0.560420692919682 8.17149092357259
"10" 5000 "./RelAb_VarSel_STRK" 2.30309608200271 0.85320283011626 0.0812342956147327 0.453825406797634 7.65273204411555
"11" 5500 "./RelAb_VarSel_STRK" 3.03051865971378 0.827693714235406 -0.156052687406242 0.500453832744914 9.88866428406057
"12" 6000 "./RelAb_VarSel_STRK" 2.76409617587717 0.783776831036272 -0.111039262378971 0.519766519380776 8.34757130237805
"13" 6500 "./RelAb_VarSel_STRK" 1.95135538447627 0.833070171779473 -0.0622335385184789 0.547808038819401 10.3061164038544
"14" 7000 "./RelAb_VarSel_STRK" 1.8460818251384 0.815624224758722 -0.101024673015013 0.547133604307064 10.4321923607607
"15" 7500 "./RelAb_VarSel_STRK" 1.56848961213718 0.825293108584107 -0.247610942548508 0.493203149967212 10.7238315010049
"16" 8000 "./RelAb_VarSel_STRK" 1.72794287561018 0.784022038979256 0.0657966277456909 0.600381893529935 12.181083998673
"17" 8500 "./RelAb_VarSel_STRK" 1.252443472837 0.75688156187643 0.0572193986120296 0.702895312987166 12.0005079504654
