"Brier_score" "years"
"1" 0.333261371750913 20000
"2" 0.286271356106138 19500
"3" 0.23756858380689 19000
"4" 0.214054084522326 18500
"5" 0.174118967074318 18000
"6" 0.153168206166245 17500
"7" 0.148030442458107 17000
"8" 0.125951224529306 16500
"9" 0.0786142917304404 16000
"10" 0.0785535344613329 15500
"11" 0.0612016037159192 15000
"12" 0.0751267658727632 14500
"13" 0.0752005058766782 14000
"14" 0.0404750742490818 13500
"15" 0.0675400452316437 13000
"16" 0.0658954330877177 12500
"17" 0.0691574452376237 12000
"18" 0.0595276239748478 11500
"19" 0.087603888602563 11000
"20" 0.091897238990926 10500
"21" 0.110802158498344 10000
"22" 0.135937733719673 9500
"23" 0.0955985570683573 9000
"24" 0.0682256749495355 8500
"25" 0.0864682427071966 8000
"26" 0.0738254358928447 7500
"27" 0.085542987234928 7000
"28" 0.0607625687384406 6500
"29" 0.0816173285517104 6000
"30" 0.0558143889738393 5500
"31" 0.0625197462948829 5000
"32" 0.0754196736867443 4500
"33" 0.0717715198190424 4000
"34" 0.105041836482888 3500
"35" 0.0776346590168701 3000
"36" 0.0627174872129706 2500
"37" 0.0649389531144292 2000
"38" 0.0700409681783102 1500
"39" 0.0895991470862398 1000
"40" 0.0975728688981626 500
