"filename" "Name" "year" "Segment" "Fagus.presence"
"16491" "QUINT" "Quintanar de la Sierra" 4347.05 1 9
"16701" "RACH" "Rachelsee" 9059.61 1 98
"16829" "RACZE" "Lake Racze" 6774 1 55
"17074" "RANVI" "Ran Viken" 5381.98 1 59
"17164" "RAPPE" "Rappershausen" 8551.82 1 22
"17195" "RASNA" "Rasna" 10879.04 1 59
"17309" "REGET" "Regetovka" 5449.91 1 29
"17408" "ROBIE" "Alpi di Robièi, Val Bavona" 5148 1 11
"17486" "ROTSE" "Rotsee" 8678.38 1 41
"17554" "SALDR" "Saldropo" 4651.82 1 45
"17690" "SANDV" "Sandvikvatn" 1684 1 2
"17711" "SARLO" "Sarlo-Hat" 9478.164 1 71
"17884" "SC-B1" "Schwemm B1" 7950.77 1 78
"18051" "SCHWAM" "Schwanengrabenrinne" 5539 1 48
"18253" "SEGRI" "Lago del Segrino" 6996.4 1 78
"18332" "SEMEN" "Semenic" 10494.86 1 68
"18765" "SIROK" "Sirok Nyirjes To" 8227 1 56
"18890" "SKANS" "Skånsö" 4030.071533 1 40
"19128" "SKOG" "Skogstjern" 1941.083 1 34
"19299" "SOLSO" "Lake Solso" 5550.34 1 36
"19703" "STERE" "Steregoiu" 5713.01 1 66
"19798" "STRAC" "Straldzha mire" 7348 1 11
"19876" "STRAZ" "Strazym Lake" 4198.75 1 44
"20095" "SUSZE" "Maly Suszek" 3662.89 1 22
"20168" "SVITY" "Svityaz (Ukraine)" 6322.31 1 47
"20229" "SW-RE" "Schwarzsee, Reschenscheideck" 4628.16 1 7
"20271" "SWIEN" "Swienskuhle" 4642.79 1 52
"20357" "TAMME" "Tammerle Moos" 7963.846 1 46
"20460" "TAPH" "La Taphanel" 5633 1 14
"20510" "TARN1" "Tarnawa Wyzna 1" 5521.06 1 43
"20588" "TARN2" "Tarnawa Wyzna 2" 5544.16 1 24
"20860" "TPHIL" "Tenaghi Philippon" 4600 1 10
"20898" "TREPP" "Grosser Treppelsee" 5612 1 74
"20978" "TRIFO1" "Trifoglietti" 11184 1 155
"21133" "TRIFO2" "Trifoglietti" 14753 1 125
"21316" "TRUME" "Trumer Moos" 2842.21 1 11
"21400" "TRUMM" "Lake Trummen" 4702.78 1 21
"21502" "ÜBERL" "Grosses Überling Schattseit-Moor" 9529.83 1 28
"21604" "UDEEL" "Uddelermeer" 3748 1 32
"21636" "UQUAT" "Urio Quattrocchi" 10238.04 1 98
"21751" "VARNA" "Lake Varna" 7899 1 31
"21801" "VERDA" "Lago Verdarolo" 7007 1 58
"22015" "VINDE" "Vinderhoute" 10579.61 1 5
"22024" "VITOS" "Vitosha Mountains Peat Bog" 6689.34 1 8
"22033" "VOULK" "Lake Voulkaria" 10767.82 1 83
"22277" "ZALAV" "Zalavári" 8201 1 30
"22343" "ZAZA" "Zazari" 5233 1 19
"22413" "ZEHEA" "Zeneggen-Hellelen A" 6713.044 1 40
"22463" "ZLATN" "Zlatnicka Dolina" 6603.78 1 57
