"name","group","element","units","context","S465603","S465606","S465608","S465611","S465615","S465619","S465622","S465631","S465634","S465645","S465655","S465664","S465673","S465683","S465692","S465701","S465710","S465602","S465605","S465609","S465612","S465614","S465617","S465621","S465632","S465635","S465644","S465654","S465663","S465675","S465684","S465690","S465699","S465708","S465623","S465636","S465646","S465657","S465666","S465677","S465687","S465697","S465709","S465624","S465637","S465647","S465656","S465667","S465676","S465686","S465696","S465706","S465625","S465639","S465650","S465659","S465669","S465679","S465694","S465704","S465626","S465640","S465649","S465660","S465670","S465680","S465695","S465705","S465627","S465641","S465652","S465662","S465672","S465682","S465691","S465698","S465707","S465628","S465642","S465653","S465665","S465674","S465685","S465693","S465703","S465629","S465643","S465651","S465661","S465671","S465681","S465688","S465700","S465601","S465604","S465607","S465610","S465613","S465616","S465618","S465620","S465630","S465633","S465638","S465648","S465658","S465668","S465678","S465689","S465702"
Amaranthaceae,UPHE,pollen,NISP,,1,,2,,,,,,,,,,,,5,,,,,1,2,1,1,3,4,,,,1,1,,1,1,,1,,1,,,,,,4,,,,1,,,,1,,,1,3,,,,,,2,3,,,,,,,1,,1,,,2,2,,,,1,,,,,1,1,1,,,,,1,,,3,1,2,,,1,2,,,,1,1,,,,1,
Amphisphaerella dispersella (type 310, HdV),FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphitrema (type 31, HdV),TEAM,test,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Aphanizomenon cf. A. gracile (type 600, HdV),ALGA,palynomorph,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,1,,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,2,1,3,2,1,,,,,1,,2,,,,,,,,,1,1,1,1,,,1,2,,2,,,,,1,,1,,2,,2,,3,1,1,2,,,,,,1,4,,,,2,,,2,1,1,1,,2,,,1,1,1,1,,,1,,,1,,
Artemisia,UPHE,pollen,NISP,,2,1,2,4,1,,,1,3,2,,1,1,12,8,5,16,2,,1,,3,1,2,1,,,,,3,17,14,6,36,4,1,1,2,,,20,12,16,2,1,1,,3,4,18,11,10,2,,,,,13,23,4,6,,,1,,12,20,14,8,1,1,,,14,7,4,14,1,,,,3,10,10,9,4,,1,,1,13,16,8,1,2,3,2,3,,1,1,2,1,3,,1,,9,9,6
Asteroideae,UPHE,pollen,NISP,,2,4,1,4,,1,2,1,2,,,1,,1,2,3,5,,4,,1,,3,,,1,,,,,6,3,,7,5,,1,,,,2,2,8,1,2,1,,,,,,,3,1,,,,2,1,,,1,,,,1,2,,2,,1,,,,2,,1,1,,,,,1,,1,7,,1,,,3,1,,,1,2,1,,1,3,1,3,,1,2,,,,4,
Betula,TRSH,pollen,NISP,,51,8,17,6,20,23,24,23,29,30,33,21,43,123,157,99,106,52,24,19,15,17,17,20,23,35,40,35,40,56,156,132,148,102,26,21,17,38,21,268,125,123,97,,36,36,23,25,138,142,165,172,4,24,34,18,18,177,126,162,42,33,38,17,16,118,110,222,24,36,25,27,28,155,129,143,69,4,44,30,12,91,115,141,186,8,45,40,27,18,145,146,156,45,7,14,15,16,27,36,16,26,20,27,35,15,18,146,106,205
Botryococcus,ALGA,spore,NISP,,123,228,225,184,88,80,1210,419,175,121,52,61,28,83,39,36,63,105,324,196,153,150,129,,469,176,90,40,48,69,78,40,39,182,93,150,141,60,61,24,55,47,140,298,132,146,59,46,47,61,60,20,445,207,92,49,56,67,39,35,102,67,86,53,25,122,42,76,86,70,40,59,40,124,40,31,88,140,73,44,107,36,94,79,31,99,59,54,44,51,133,38,16,97,174,352,273,83,104,171,161,610,266,125,115,25,88,27,77,24
Brassicaceae,UPHE,pollen,NISP,,1,2,2,,1,2,,1,1,1,1,,,,,,,1,3,,,,1,,,1,,1,,,1,,1,,3,,1,,,,,,,4,1,,,,,1,,,4,,1,,,1,1,,1,,,1,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,2,4,2,2,,,,,,,,,,,,,
Byssothecium circinans (type 16, HdV),FUNG,spore,NISP,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,2,,1,,,,3,,,1,,,,,,
Campanula,UPHE,pollen,NISP,,,,,,,2,1,,,2,,1,1,,,,,,,1,,,2,,2,,,,,,,,,,1,,,1,,,,,,1,,,1,,1,,,,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,3,1,,,,,,,,4,3,,,2,2,1,,1,2,,,,,,
Carpinus,TRSH,pollen,NISP,,4,1,2,5,6,1,,1,,,,,,,,,,,3,5,4,4,3,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,7,,,,,,,,2,,,,,,,,3,3,2,3,7,,1,,,,,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,,,,,,,5,,1,,,,1,,,,,,2,,1,,,,1,,1,,1,,,1,,,2,,,,,,,,2,1,1,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,
Castanea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea jacea-type,UPHE,pollen,NISP,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea scabiosa-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Cercophora sp. (type 112, HdV),FUNG,ascospore,NISP,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,8,,,,,,,,3,7,1,,,,,,,,,,,1,,,,1,,,1,,,,,,4,,,,,,,,2,1,,1,,,,,,4,,,,,,,,,1,,,,,,
Chaetomium sp. (type 7A, HdV),FUNG,ascospore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,1,5,,2,2,2,2,1,,,,1,,1,,,,,3,1,1,,3,3,2,3,,,,,,,,1,1,1,,,,,,,,4,2,,,,,,,1,1,,,,,,,,4,,,,,1,,,2,1,,,,,,,1,4,,,,,,,,6,,,,,,,,1,1,1,2,1,2,2,2,1,1,,,1,,,,
Clasterosporium caricinum (type 126, HdV),FUNG,spore,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,2,,,,,,,,2,1,,,1,,,1,1,3,,,,,,,1,1,,,,,,,,1,3,,,,,,,6,,,,,,,,,2,,1,,,,,,,,,,,,,,1,
Convolvulus arvensis,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,27,26,24,21,14,7,30,35,40,56,65,101,80,,,,,20,14,20,13,13,15,15,33,40,65,69,95,63,,,,,40,59,54,67,121,,,,,13,50,72,74,103,,,,,23,46,50,79,127,,,,16,52,55,63,98,,,,34,65,48,92,90,,,,,23,51,73,102,,,,,21,60,53,112,125,,,,18,26,43,19,17,19,8,15,39,32,47,55,70,141,,,
Cyperaceae,UPHE,pollen,NISP,,13,15,9,27,14,8,7,4,7,11,10,7,7,129,63,10,42,4,7,20,17,8,10,11,8,11,5,10,,13,99,66,57,30,15,4,9,2,4,17,201,24,40,22,8,5,7,3,21,144,38,20,18,12,13,7,3,43,70,18,5,7,18,9,8,53,139,32,21,7,5,5,10,89,72,26,33,9,8,5,7,17,57,41,14,24,11,8,9,6,97,59,42,8,23,18,30,17,13,23,14,5,6,8,15,6,16,35,98,12
Diporotheca rhizophila (type 143, HdV),FUNG,fruit body/ascospore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Empetrum,TRSH,pollen,NISP,,,,,,,,,,,,,,,16,25,1,,,,,,,,,,,,,,,18,18,4,1,,,,,,,15,,,,,,,,,13,,,,,,,,1,19,,,,,,,9,20,,,,,,,22,17,,,,,,,,17,8,,,,,,,15,19,1,,,,,,,,,,,,,,,1,21,
Ephedra distachya-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ephedra fragilis-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epicoccum purpurascens (HdV-1011),FUNG,ascospore,NISP,,,4,1,3,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,2,1,,,,,,1,5,3,,,,1,,,,,,,,,,1,,,,,,,,1,,,4
Epilobium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum,VACR,spore,NISP,,,,,,,2,2,,4,,1,4,1,2,20,3,142,,,,,,1,1,,,,,2,3,5,38,44,16,7,,,,1,4,7,6,37,,,1,,2,5,3,32,4,,,,2,6,20,16,14,,1,,1,8,20,7,6,1,,1,1,8,3,5,16,13,1,,,2,4,3,39,9,,1,1,1,10,21,1,28,,,,1,,1,,5,,1,,2,1,6,4,3,2
Ericales,TRSH,pollen,NISP,,29,107,63,47,45,54,54,41,16,7,14,3,1,,,,,30,89,82,51,25,63,56,48,16,19,6,6,4,1,,1,,41,17,6,9,6,2,1,1,,105,10,5,7,8,,,,,144,20,8,18,4,1,1,,50,14,3,1,1,3,,,87,20,,3,2,,,1,,126,14,4,3,,2,,1,111,13,6,4,4,1,1,1,22,91,72,43,49,63,50,49,54,42,14,9,12,6,,,
Fabaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
Fagopyrum,UPHE,pollen,NISP,,3,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,6,,,,,,,,7,,,,,,,,7,,,,,,,,,4,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,7,7,13,22,20,7,3,7,1,,,,,,,,,18,2,17,23,13,8,12,4,,,,1,1,,,,,9,2,,,,,,,,4,,,,,,,,,2,1,,,,,,,9,3,,,,,,,5,1,,,,,,,,8,,,,,,,,5,,,,,,,,13,7,9,13,16,6,6,8,5,2,,,,,,,
Filinia,ROTI,egg,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Filipendula,UPHE,pollen,NISP,,,,1,,,,,,,1,,,,2,,3,2,,1,,,,,1,,1,,,,1,,1,,4,,1,,,1,5,1,2,21,,1,,,1,1,2,2,,,,,,,8,,5,,,,,,2,2,1,,,,,,4,2,3,1,1,,2,1,,,,1,,,,1,1,3,1,4,,,2,,,1,,1,,,,,,,15,1,
Frangula alnus,TRSH,pollen,NISP,,,,,3,,,,2,,,1,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,1,,1,2,,,,,
Fraxinus,TRSH,pollen,NISP,,5,3,5,,6,6,2,5,5,4,13,,,,,,,3,2,6,,2,5,5,1,8,3,4,1,2,,,,,5,2,11,4,,,,,,1,4,12,6,,,,,,,8,10,2,,,,,3,5,13,3,,,,,,5,14,1,,,,,,1,8,8,,,,,,,5,10,1,,,,,2,2,1,5,5,2,1,4,4,2,,9,6,,,,
Fungi (type 123, HdV),FUNG,spore,NISP,,,1,2,10,4,7,,,9,8,5,10,,,,,,,2,2,4,6,7,6,,6,15,8,8,9,,,1,,,12,10,22,10,,,,3,1,4,16,6,10,2,,,,2,6,21,10,30,,,,,3,18,28,18,,,,,8,17,10,6,,,,,3,14,15,9,2,,,,1,21,11,30,8,,,,,1,4,4,4,6,13,5,,,12,18,24,33,2,,
Fungi (type 18, HdV),FUNG,spore,NISP,,,1,,,,,,1,2,,,,,,,,,1,,3,1,1,,,1,3,,,,,,,,,2,3,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,2,,1,2,,,,,,
Fungi (type 23, HdV),FUNG,spore,NISP,,,1,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Fungi (type 90, HdV),FUNG,spore,NISP,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium,UPHE,pollen,NISP,,,,,,,1,,,2,1,,,,1,,,2,,,,,2,,,1,3,,,,1,1,1,1,5,,3,,1,,,2,1,11,,1,,,1,1,2,1,1,1,,,,,,4,1,,1,,,,3,2,,,1,,,,,2,,5,1,,,,,,2,,,,,,,,3,1,,,1,,1,,1,,,,2,,,,,1,
Gelasinospora cf. G. retispora (type 2, HdV),FUNG,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelasinospora sp. (type 1, HdV),FUNG,ascospore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
