name,group,element,units,context,S414515,S414516,S414517,S414518,S414519,S414520,S414521,S414522,S414523,S414524,S414525,S414526,S414527,S414528,S414529,S414530,S414531,S414532,S414533,S414534,S414535,S414536,S414537,S414538,S414539,S414540,S414541,S414542,S414543,S414544,S414545,S414546,S414547,S414548,S414549,S414550,S414551,S414552,S414553,S414554,S414555,S414556,S414557,S414558,S414559,S414560,S414561,S414562,S414563,S414564,S414565,S414566,S414567,S414568,S414569,S414570,S414571,S414572,S414573,S414574,S414575,S414576,S414577,S414578,S414579,S414580,S414581,S414582,S414583,S414584,S414585,S414586,S414587,S414588,S414589,S414590,S414591,S414592,S414593,S414594
Pinus sibirica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,2,,,,,,,,,,,,,,,,2,,1,,2,,2,,2,,1,,5,5,3,3
Pinus sylvestris,TRSH,pollen,NISP,,66,89,126,98,104,70,94,94,72,75,52,54,51,46,44,43,26,24,30,31,38,16,28,15,18,27,37,32,43,22,14,37,60,71,63,56,38,64,102,65,83,55,48,69,52,51,38,47,61,95,30,21,19,5,7,23,14,8,10,13,43,80,103,44,23,16,10,11,8,9,7,8,16,17,6,6,12,7,10,7
Plantae,PLNT,macrobotanical,NISP,,,,,,,,,,1,,1,1,5,10,4,6,1,33,25,11,48,1,2,2,,1,1,1,6,1,,1,2,,2,1,1,1,10,10,11,1,1,,2,,2,1,10,1,4,10,313,350,310,370,7,2,1,,1,2,1,1,,401,,400,,400,,500,1,1,,,,400,,
Poaceae,UPHE,pollen,NISP,,39,94,83,43,40,15,2,2,6,4,2,12,6,6,7,10,4,6,4,8,7,3,1,6,1,3,3,1,3,4,6,5,12,21,11,18,15,11,6,5,12,7,9,16,9,19,8,19,101,170,266,149,166,83,75,94,102,100,81,95,102,68,38,29,39,38,54,86,87,39,70,65,84,45,111,72,100,70,105,81
Poaceae (Cerealia),UPHE,pollen,NISP,,17,14,24,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,18,15,16,17,26,6,14,4,9,10,10,7,7,7,9,9,1,6,11,8,6,1,9,6,2,11,19,10,27,13,9,17,33,41,14,24,24,21,17,16,52,126,117,137,150,123,137,107,52,47,7,1,,,1,1,1,2,5,1,3,8,1,2,20,3,3,4,5,7,2,,3,,5,7,2,2,4,1
Potamogeton,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,3,,2,1,4,3,,1,1,1,,1,,1,3,,1,,,,,,,,,,,,,,,,,,,1,1,1,6,,,,1,,,,,,2,,,,,,,,,,
Pteridium,VACR,spore,NISP,,2,7,4,2,,,,,,,,,,,,,,1,,,1,1,,,1,,,,1,3,1,1,1,,4,1,5,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,4,8,13,13,14,34,47,35,29,55,45,58,69,61,66,75,77,81,118,104,101,47,49,68,73,84,64,57,55,49,54,37,8,8,29,11,3,9,1,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,3,1,1
Sagittaria,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Salix,TRSH,pollen,NISP,,7,11,17,9,5,9,3,4,3,4,2,2,,1,2,,5,3,2,9,4,4,2,5,1,3,2,3,1,1,,,5,5,5,3,2,1,3,3,6,6,11,1,10,9,6,10,15,10,14,13,15,17,16,7,27,20,23,31,3,5,11,22,16,11,14,19,7,11,2,6,3,,2,1,5,7,1,3
Sample quantity,LABO,volume,cm^3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sparganium,AQVP,pollen,NISP,,2,3,,,,1,,,,,,,,,,1,,,,,1,,1,,,,,1,,,,,3,3,,2,1,2,,3,1,8,1,,2,1,,2,2,,2,1,2,,,2,,,,1,,1,,,2,,1,,,,,,3,4,,,2,3,,
Spermatophyta undiff. (aquatics),AQVP,pollen,NISP,,2,3,1,1,1,1,,,,,1,,,,,2,2,2,,1,1,3,3,3,1,4,3,1,1,1,2,1,5,3,1,5,5,7,1,4,1,9,1,1,5,3,1,2,12,3,5,10,2,8,3,5,6,15,7,13,6,5,5,2,2,2,1,2,1,12,1,1,4,6,,1,3,3,,1
