"name","group","element","units","context","S620864","S620874","S620889","S620898","S620911","S620927","S620944","S620956","S620968","S620867","S620868","S620876","S620877","S620886","S620887","S620896","S620900","S620905","S620916","S620918","S620928","S620929","S620940","S620942","S620947","S620954","S620957","S620965","S620967","S620976","S620865","S620881","S620890","S620897","S620908","S620917","S620923","S620932","S620936","S620948","S620959","S620966","S620975","S620870","S620869","S620878","S620879","S620885","S620888","S620895","S620902","S620907","S620910","S620919","S620922","S620924","S620933","S620934","S620941","S620943","S620951","S620955","S620961","S620964","S620971","S620974","S620872","S620882","S620894","S620904","S620912","S620926","S620939","S620950","S620962","S620972","S620866","S620875","S620884","S620893","S620903","S620906","S620914","S620920","S620930","S620938","S620945","S620953","S620960","S620970","S620871","S620880","S620891","S620901","S620913","S620925","S620937","S620949","S620958","S620969","S620863","S620873","S620883","S620892","S620899","S620909","S620915","S620921","S620931","S620935","S620946","S620952","S620963","S620973"
Alnus,TRSH,pollen,NISP,,3,10,5,5,7,10,4,2,3,11,11,2,4,2,5,6,7,26,10,7,16,12,10,3,5,5,2,1,2,,4,4,1,2,6,16,13,13,11,4,6,1,1,6,10,3,3,4,9,6,11,21,13,13,6,14,10,9,7,,4,5,5,2,3,,,5,3,22,9,16,6,6,2,,5,,11,7,13,25,11,8,9,3,2,4,3,,6,3,4,13,10,13,6,7,4,5,5,5,1,4,,19,4,12,16,5,1,5,2,
Amaranthaceae,UPHE,pollen,NISP,,27,4,7,4,34,2,7,11,2,8,11,5,,8,4,9,5,4,33,15,,2,8,5,15,1,3,1,1,1,17,13,7,3,7,34,6,4,7,9,2,1,,4,8,4,8,7,5,9,8,3,3,13,3,7,8,4,8,15,1,4,,4,,,5,12,7,8,10,10,4,5,,1,9,7,3,,10,9,10,10,4,5,29,2,1,,9,10,5,6,15,3,4,11,3,1,8,9,1,8,4,20,10,5,4,4,16,2,,4
Anogramma leptophylla,VACR,spore,NISP,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,1,,1,1,,,,1,,,,,,,,,,,,,,,,1,1,5,,,,,,,,2,,3,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,,3
Anthoceros laevis,UPBR,spore,NISP,,,1,,1,1,1,1,9,4,,,,,1,,,,,,,,1,2,1,20,5,9,4,1,1,7,,,3,,,3,,3,8,12,4,2,1,,,,,,,,2,,,,3,2,,1,4,21,9,4,2,3,15,1,,,1,,3,1,22,5,8,1,1,,2,,,,,,7,7,10,5,4,3,,,,,1,,23,8,7,1,2,1,2,1,,,,2,,31,11,,9
Anthoceros punctatus,UPBR,spore,NISP,,,,,,,1,,,,,,,,,,,,,,,,3,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,2,,
Apiaceae undiff.,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,1,1,1,,,3,2,4,1,1,,,,,,,,1,1,,1,5,,,,,,,1,,,,,,,,,,2,1,1,,,4,1,,,,4,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,,,5,4,2,,,,,,,1,1,,,,,2,3,
Apium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Arbutus,TRSH,pollen,NISP,,,,,11,2,,,1,,,,,2,,3,,1,,,,,1,,,,,,,,,1,1,,,,2,,,,,,,1,2,,1,,,,1,,1,,,3,,,,2,,,,,,,2,,1,1,,1,,,,1,,,,,1,,,,,,,,,,,2,1,,1,,,,,,,,1,3,6,4,,8,2,,,,,,
Arceuthobium oxycedri,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Arctium,UPHE,pollen,NISP,,,1,,,,,1,,,,,1,1,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,1,,2,,,,,1,,,,,,,,,,,,1,1,,2,,2,2,,1,,,5,,,,,,,1,,,,,1,,1,,2,,,,,,,,,1,,1,,,,,,2,,,
