"name","group","element","units","context","S413759","S413760","S413761","S413762","S413763","S413764","S413765","S413766","S413767","S413768","S413769","S413770","S413771","S413772","S413773","S413774","S413775","S413776","S413777","S413778","S413779","S413780","S413781","S413782","S413783","S413784","S413785","S413786","S413787","S413788","S413789","S413790","S413791","S413792","S413793","S413794","S413795","S413796","S413797","S413798","S413799","S413800","S413801","S413802","S413803"
Fagopyrum,UPHE,pollen,NISP,,,,7,2,2,,,1,,1,,,1,,,,1,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,
Fraxinus excelsior,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,2,1,1,,,1,2,,,3,2,2,,,,,,,1,,,,,,,2,1,,
Geraniaceae,UPHE,pollen,NISP,,,,1,1,1,,1,,,,1,,1,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humulus lupulus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,1,3,3,3,,2,,2,3,2,,,1,,,1,1,1,,2,3,1,1,4,1,1,8,,2,,,1,,2,2,4,4,2,1,,,,2,1,1
Liliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Lycopodium annotinum,VACR,spore,NISP,,1,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
Lycopodium clavatum,VACR,spore,NISP,,,,,,,,,,1,3,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,
Myriophyllum,AQVP,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Onagraceae,UPHE,pollen,NISP,,,,3,3,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,5,3,3,,1,,,,,,2
Ophioglossum,VACR,spore,NISP,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Pediastrum,ALGA,colony,NISP,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persicaria amphibia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,4,6,15,9,6,4,2,6,9,8,16,23,5,10,6,6,6,5,7,3,22,8,8,1,5,9,12,7,12,3,11,6,7,6,5,5,5,1,5,3,2,1,,1,2
Pinus sylvestris,TRSH,pollen,NISP,,90,66,72,83,38,72,59,42,126,90,94,152,73,67,39,40,34,45,43,41,80,57,52,17,52,67,88,82,86,48,87,63,103,50,81,53,96,81,69,58,100,143,202,154,101
Plantago lanceolata,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Plantago major/P. media,UPHE,pollen,NISP,,,,1,1,,,1,,,1,,,,,,2,1,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,
