name,group,element,units,context,S128586,S128587,S128588,S128589,S128590,S128591,S128592,S128593,S128594,S128595,S128596,S128597,S128598,S128599,S128600,S128601,S128602,S128603,S128604,S128605,S128606,S128607,S128608,S128609,S128610,S128611,S128612,S128613,S128614,S128615,S128616,S128617,S128618,S128619,S128620,S128621,S128622,S128623,S128624,S128625,S128626,S128627,S128628,S128629,S128630,S128631,S128632,S128633,S128634,S128635,S128636,S128637,S128638,S128639,S128640,S128641,S128642,S128643,S128644,S128645,S128646,S128647,S128648,S128649,S128650,S128651,S128652,S128653,S128654,S128655,S128656,S128657,S128658,S128659,S128660,S128661,S128662,S128663,S128664,S128665
Cyperaceae,UPHE,pollen,NISP,,3,5,8,3,5,12,1,4,17,3,7,6,1,2,3,11,4,2,2,3,3,1,8,1,9,13,3,1,1,1,,5,1,,,2,,,4,3,4,5,2,3,4,2,6,,,1,11,2,2,1,1,,1,1,2,1,1,24,16,3,23,9,,1,1,2,9,4,5,5,7,9,2,2,16,24
Dryopteris filix-mas,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,
Ericaceae,TRSH,pollen,NISP,,2,6,3,,,1,,,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,1,,,,,2,1,1
Fagus,TRSH,pollen,NISP,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula,UPHE,pollen,NISP,,1,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,
Fraxinus,TRSH,pollen,NISP,,2,3,2,,4,2,7,8,3,3,3,11,16,14,13,4,2,7,7,7,3,2,2,1,3,4,3,3,5,7,6,9,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedera,TRSH,pollen,NISP,,1,,1,,,,,,,1,,,1,,1,,1,,,,,,1,1,,,,,,,,,,,1,,,1,,,1,1,,,,1,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilex,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,,2,1,1,1,2,1,2,2,1,9,1,,2,1,1,1,2,2,1,2,3,3,3,4,1,5,3,1,1,,3,1,6,3,1,1,4,1,2,1,2,,1,1,,1,1,1,1,5,1,1,1,1,2,4,1,2,6,1,3,7,2,3,4,1,4,1,11,2,4,1,7,1,1,2,1,3,3
Juniperus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2
Lactuca-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Lycopodium spike,LABO,counted,number,,,745,1637,67,498,432,56,381,11,1243,1797,766,413,23,56,112,392,185,175,585,1241,57,568,14,288,364,1413,254,213,263,376,82,175,117,74,136,2,17,32,515,42,16,57,117,36,95,13,45,158,32,522,49,46,283,29,45,212,447,6,47,143,159,69,385,132,617,81,1696,74,95,967,927,359,29,212,369,628,714,318,64
Menyanthes,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1
Micranthes stellaris-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Myriophyllum spicatum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus,TRSH,pollen,NISP,,6,6,5,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,1,4,4,3,3,13,4,2,4,6,6,6,4,4,7,3,4,9,7,5,6,8,7,8,8,9,8,16,24,39,52,38,43,38,25,35,28,15,25,23,6,2,2,1,1,,,2
Plantago lanceolata,UPHE,pollen,NISP,,3,3,5,9,1,3,,1,2,1,,,,,,2,1,,1,1,4,3,1,2,4,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
